# Step Timing Log
# Format: timestamp [Step N] MODE | total=Xms
# MODE: NORMAL = regular step, POST-CKPT = within 34 steps after checkpoint save
# Generated by train_phase8.py

2025-12-13T19:13:05.347384 [Step   3473] POST-CKPT    | total=8181.5ms | mode=POST-CKPT
2025-12-13T19:13:10.807925 [Step   3474] POST-CKPT    | total=5455.6ms | mode=POST-CKPT
2025-12-13T19:13:16.555629 [Step   3475] POST-CKPT    | total=5744.1ms | mode=POST-CKPT
2025-12-13T19:13:21.842543 [Step   3476] POST-CKPT    | total=5281.8ms | mode=POST-CKPT
2025-12-13T19:13:27.260782 [Step   3477] POST-CKPT    | total=5412.3ms | mode=POST-CKPT
2025-12-13T19:13:32.940654 [Step   3478] POST-CKPT    | total=5667.9ms | mode=POST-CKPT
2025-12-13T19:13:38.651554 [Step   3479] POST-CKPT    | total=5703.2ms | mode=POST-CKPT
2025-12-13T19:13:44.349715 [Step   3480] POST-CKPT    | total=5694.2ms | mode=POST-CKPT
2025-12-13T19:13:49.669978 [Step   3481] POST-CKPT    | total=5315.8ms | mode=POST-CKPT
2025-12-13T19:13:54.844014 [Step   3482] POST-CKPT    | total=5169.2ms | mode=POST-CKPT
2025-12-13T19:14:00.026120 [Step   3483] POST-CKPT    | total=5176.3ms | mode=POST-CKPT
2025-12-13T19:14:05.437841 [Step   3484] POST-CKPT    | total=5404.7ms | mode=POST-CKPT
2025-12-13T19:14:10.586510 [Step   3485] POST-CKPT    | total=5144.6ms | mode=POST-CKPT
2025-12-13T19:14:15.802590 [Step   3486] POST-CKPT    | total=5206.0ms | mode=POST-CKPT
2025-12-13T19:14:21.037197 [Step   3487] POST-CKPT    | total=5228.1ms | mode=POST-CKPT
2025-12-13T19:14:26.657697 [Step   3488] POST-CKPT    | total=5616.6ms | mode=POST-CKPT
2025-12-13T19:14:31.396456 [Step   3489] POST-CKPT    | total=4733.5ms | mode=POST-CKPT
2025-12-13T19:14:36.642704 [Step   3490] POST-CKPT    | total=5240.7ms | mode=POST-CKPT
2025-12-13T19:14:41.809111 [Step   3491] POST-CKPT    | total=5160.8ms | mode=POST-CKPT
2025-12-13T19:14:47.027092 [Step   3492] POST-CKPT    | total=5207.1ms | mode=POST-CKPT
2025-12-13T19:14:52.372668 [Step   3493] POST-CKPT    | total=5332.2ms | mode=POST-CKPT
2025-12-13T19:14:57.664710 [Step   3494] POST-CKPT    | total=5283.0ms | mode=POST-CKPT
2025-12-13T19:15:02.741081 [Step   3495] POST-CKPT    | total=5071.3ms | mode=POST-CKPT
2025-12-13T19:15:07.850187 [Step   3496] POST-CKPT    | total=5104.2ms | mode=POST-CKPT
2025-12-13T19:15:13.219725 [Step   3497] POST-CKPT    | total=5361.6ms | mode=POST-CKPT
2025-12-13T19:15:18.298409 [Step   3498] POST-CKPT    | total=5073.7ms | mode=POST-CKPT
2025-12-13T19:15:23.387805 [Step   3499] POST-CKPT    | total=5082.3ms | mode=POST-CKPT
2025-12-13T19:15:28.914969 [Step   3500] POST-CKPT    | total=5523.6ms | mode=POST-CKPT
2025-12-13T19:15:34.232924 [Step   3501] POST-CKPT    | total=5310.1ms | mode=POST-CKPT
2025-12-13T19:15:39.800442 [Step   3502] POST-CKPT    | total=5561.0ms | mode=POST-CKPT
2025-12-13T19:15:45.189097 [Step   3503] POST-CKPT    | total=5384.4ms | mode=POST-CKPT
2025-12-13T19:15:50.838434 [Step   3504] POST-CKPT    | total=5646.2ms | mode=POST-CKPT
2025-12-13T19:15:55.754212 [Step   3505] POST-CKPT    | total=4910.5ms | mode=POST-CKPT
2025-12-13T19:16:01.136654 [Step   3506] POST-CKPT    | total=5375.6ms | mode=POST-CKPT
2025-12-13T19:16:06.196296 [Step   3507] NORMAL       | total=5052.7ms | mode=NORMAL
2025-12-13T19:16:11.318082 [Step   3508] NORMAL       | total=5114.8ms | mode=NORMAL
2025-12-13T19:16:16.797063 [Step   3509] NORMAL       | total=5474.3ms | mode=NORMAL
2025-12-13T19:16:21.912472 [Step   3510] NORMAL       | total=5110.2ms | mode=NORMAL
2025-12-13T19:16:27.290002 [Step   3511] NORMAL       | total=5373.0ms | mode=NORMAL
2025-12-13T19:16:32.341157 [Step   3512] NORMAL       | total=5044.1ms | mode=NORMAL
2025-12-13T19:16:37.520185 [Step   3513] NORMAL       | total=5172.8ms | mode=NORMAL
2025-12-13T19:16:42.933084 [Step   3514] NORMAL       | total=5407.9ms | mode=NORMAL
2025-12-13T19:16:48.203796 [Step   3515] NORMAL       | total=5265.3ms | mode=NORMAL
2025-12-13T19:16:54.157270 [Step   3516] NORMAL       | total=5948.0ms | mode=NORMAL
2025-12-13T19:16:59.609270 [Step   3517] NORMAL       | total=5445.1ms | mode=NORMAL
2025-12-13T19:17:04.737180 [Step   3518] NORMAL       | total=5122.8ms | mode=NORMAL
2025-12-13T19:17:09.984673 [Step   3519] NORMAL       | total=5238.2ms | mode=NORMAL
2025-12-13T19:17:15.600158 [Step   3520] NORMAL       | total=5610.5ms | mode=NORMAL
2025-12-13T19:17:20.251334 [Step   3521] NORMAL       | total=4647.1ms | mode=NORMAL
2025-12-13T19:17:25.380307 [Step   3522] NORMAL       | total=5122.6ms | mode=NORMAL
2025-12-13T19:17:30.629012 [Step   3523] NORMAL       | total=5244.1ms | mode=NORMAL
2025-12-13T19:17:35.820506 [Step   3524] NORMAL       | total=5180.9ms | mode=NORMAL
2025-12-13T19:17:41.091503 [Step   3525] NORMAL       | total=5264.3ms | mode=NORMAL
2025-12-13T19:17:47.036770 [Step   3526] NORMAL       | total=5939.8ms | mode=NORMAL
2025-12-13T19:17:52.440483 [Step   3527] NORMAL       | total=5398.5ms | mode=NORMAL
2025-12-13T19:17:57.677889 [Step   3528] NORMAL       | total=5233.1ms | mode=NORMAL
2025-12-13T19:18:02.920215 [Step   3529] NORMAL       | total=5232.1ms | mode=NORMAL
2025-12-13T19:18:08.273340 [Step   3530] NORMAL       | total=5347.7ms | mode=NORMAL
2025-12-13T19:18:13.382805 [Step   3531] NORMAL       | total=5104.8ms | mode=NORMAL
2025-12-13T19:18:18.601178 [Step   3532] NORMAL       | total=5207.8ms | mode=NORMAL
2025-12-13T19:18:23.903860 [Step   3533] NORMAL       | total=5296.1ms | mode=NORMAL
2025-12-13T19:18:29.016564 [Step   3534] NORMAL       | total=5106.8ms | mode=NORMAL
